제목,지역,분류,조회수,평점,북마크,url,주소
동구밖오리구이,천호/강동/둔촌,오리고기,869018,3.7,18,https://www.siksinhot.com/P/342684, 서울특별시 강동구 진황도로 227 하선빌딩
양철북(강동구청점),천호/강동/둔촌,곱창/대창,154918,3.3,8,https://www.siksinhot.com/P/252209,양철북(강동구청점) 
강동호치민,천호/강동/둔촌,인도네시아,46365,2.8,5,https://www.siksinhot.com/P/480260, 서울특별시 강동구 천호대로 1089 복합시설동 
강동KD부대찌개,천호/강동/둔촌,부대찌개,52013,2.8,3,https://www.siksinhot.com/P/373435, 서울특별시 강동구 올림픽로62길 7
떡갈비연구소 강동점,천호/강동/둔촌,한정식,1475,평가중,,https://www.siksinhot.com/P/1303788, 서울특별시 강동구 양재대로111길 54
이차돌 강동구청점,천호/강동/둔촌,소구이/불고기,2344,평가중,,https://www.siksinhot.com/P/1077305, 서울특별시 강동구 성내로6길 14 
돈사돈 강동직영점,천호/강동/둔촌,돼지구이,866,평가중,,https://www.siksinhot.com/P/1066886, 서울특별시 강동구 올림픽로 675 1층 돈사돈
미테이블 강동2호점,천호/강동/둔촌,스테이크,1887,평가중,,https://www.siksinhot.com/P/998973, 서울특별시 강동구 양재대로111길 15 탑스위트 
동구밖코다리찜,천호/강동/둔촌,한식기타,2835,평가중,,https://www.siksinhot.com/P/998976, 서울특별시 강동구 풍성로 309 
강동식육식당,북구/강동/정자해수욕장,육회/육사시미,3196,평가중,,https://www.siksinhot.com/P/850887, 울산광역시 북구 산하중앙2로 244
강동짬뽕,천호/강동/둔촌,중식,1979,평가중,,https://www.siksinhot.com/P/803769, 서울특별시 강동구 천중로40길 78 
강동초장집,북구/강동/정자해수욕장,회/횟집/참치,1877,평가중,,https://www.siksinhot.com/P/644058, 울산광역시 북구 정자1길 51-1 
강릉할머니손칼국수,북구/강동/정자해수욕장,비빔밥/돌솥밥/쌈밥,40581,평가중,1,https://www.siksinhot.com/P/700113, 울산광역시 북구 약수2길 6-3 
강동대방수산,북구/강동/정자해수욕장,씨푸드,1615,평가중,,https://www.siksinhot.com/P/750406, 울산광역시 북구 동해안로 1429
강동참치,천호/강동/둔촌,일식,2468,평가중,,https://www.siksinhot.com/P/486687, 서울 강동구 양재대로 1442
강동해물찜해천탕,천호/강동/둔촌,해물탕/해물요리,35360,평가중,0,https://www.siksinhot.com/P/440441, 서울특별시 강동구 양재대로 1416
동구밖장작구이,천호/강동/둔촌,오리고기,28080,평가중,0,https://www.siksinhot.com/P/404478, 서울특별시 강동구 풍성로 309
강서복집,강서/화곡/발산/등촌,복어요리,2114736,4.4,36,https://www.siksinhot.com/P/254464, 서울특별시 강서구 공항대로59길 8
한신포차 강서구청점,강서/화곡/발산/등촌,포장마차,916511,4.0,11,https://www.siksinhot.com/P/315163,한신포차 강서구청점 
닥터로빈 강서점,강서/화곡/발산/등촌,카페/커피숍,1223819,3.3,19,https://www.siksinhot.com/P/254250, 서울 강서구 공항대로 396
샤브미 강서점,강서/화곡/발산/등촌,샤브샤브,1150110,3.2,10,https://www.siksinhot.com/P/254499, 서울특별시 강서구 화곡로 398
강따라물따라 ,강서구/김해공항/가덕도,오리고기,88036,3.0,6,https://www.siksinhot.com/P/274046, 부산광역시 강서구 상덕로49번길 179-28 
반궁 NC백화점강서점,강서/화곡/발산/등촌,한정식,93164,2.8,4,https://www.siksinhot.com/P/479556, 서울 강서구 강서로56길 17
치킨이즈백 강서구청점,강서/화곡/발산/등촌,치킨/통닭,895,평가중,,https://www.siksinhot.com/P/1259259, 서울특별시 강서구 까치산로 172
수협강서수산물도매시장,강서/화곡/발산/등촌,회/횟집/참치,8257,평가중,,https://www.siksinhot.com/P/1120331, 서울특별시 강서구 발산로 24 수협공판장 
접시고기 강서점,강서/화곡/발산/등촌,돼지구이,1792,평가중,,https://www.siksinhot.com/P/997915, 서울특별시 강서구 공항대로46길 25-8 
징기스 강서구청점,강서/화곡/발산/등촌,돼지구이,2517,평가중,,https://www.siksinhot.com/P/974856, 서울특별시 강서구 화곡로58길 22-14
코끼리한상 강서직영점,강서/화곡/발산/등촌,한정식,1711,평가중,,https://www.siksinhot.com/P/979441, 서울특별시 강서구 화곡로64길 50
강름엄지네꼬막집,강서/화곡/발산/등촌,씨푸드,49912,평가중,2,https://www.siksinhot.com/P/977643, 서울특별시 강서구 공항대로 291
강서손칼국수,강서/화곡/발산/등촌,칼국수/국수,21731,평가중,1,https://www.siksinhot.com/P/809425, 서울 강서구 양천로 661
돌배기집 강서구청점,강서/화곡/발산/등촌,소구이/불고기,50782,평가중,2,https://www.siksinhot.com/P/829222, 서울 강서구 공항대로46길 47
현대옥 서울강서점,강서/화곡/발산/등촌,해장국/국밥/육개장,2153,평가중,,https://www.siksinhot.com/P/433724, 서울특별시 강서구 화곡로 346
강민철레스토랑,청담동,프렌치,7704,평가중,,https://www.siksinhot.com/P/1317114, 서울특별시 강남구 도산대로68길 18 
능라도 강남점,삼성동,냉면/막국수,1998130,4.3,30,https://www.siksinhot.com/P/371744, 서울특별시 강남구 삼성로 534
강남교자 본점,강남역,칼국수/국수,81210270,4.1,270,https://www.siksinhot.com/P/56310, 서울특별시 서초구 강남대로69길 11
강촌숯불닭갈비 본점,구로/대림/가산/금천구,닭볶음탕/닭갈비/닭발,1571725,3.9,25,https://www.siksinhot.com/P/368159, 서울특별시 구로구 공원로6나길 35-2
대우부대찌개 강남본점,역삼역,부대찌개,2378190,3.9,90,https://www.siksinhot.com/P/320015, 서울특별시 강남구 테헤란로25길 34
안다즈서울강남 조각보,압구정,유러피안,46912,평가중,2,https://www.siksinhot.com/P/1214385, 서울특별시 강남구 논현로 854
도치피자 강남점,강남역,이탈리안,68087221,4.4,221,https://www.siksinhot.com/P/343390, 서울특별시 강남구 강남대로98길 27
강서복집,강서/화곡/발산/등촌,복어요리,2114736,4.4,36,https://www.siksinhot.com/P/254464, 서울특별시 강서구 공항대로59길 8
부산아구,신사역,꽃게/랍스터/새우,41562109,4.0,109,https://www.siksinhot.com/P/352874, 서울특별시 강남구 강남대로150길 10
강남원주추어탕,신논현/영동시장,해물탕/해물요리,1990346,4.0,46,https://www.siksinhot.com/P/3209, 서울특별시 강남구 강남대로110길 6
미즈컨테이너 강남 웨스트,강남역,이탈리안,146486460,4.2,460,https://www.siksinhot.com/P/25472, 서울특별시 서초구 서초대로73길 9
봉피양제주 강남점,강남역,냉면/막국수,96574263,4.2,263,https://www.siksinhot.com/P/8828, 서울특별시 서초구 강남대로 359 대우도씨에빛2 
강남보물섬,역삼역,회/횟집/참치,89757,4.1,7,https://www.siksinhot.com/P/481142, 서울특별시 강남구 테헤란로20길 11-1
강릉수산,노량진,회/횟집/참치,24563107,4.1,107,https://www.siksinhot.com/P/338063, 서울특별시 동작구 노들로 674
쉐이크쉑 강남점,신논현/영동시장,버거,65926205,4.0,205,https://www.siksinhot.com/P/370470, 서울특별시 강남구 강남대로 452
강공순할매집전복신랑해물각시 본점,여의도,낙지/문어/주꾸미,1667356,4.0,56,https://www.siksinhot.com/P/347669, 서울특별시 영등포구 여의나루로 67
도스타코스 강남역점,신논현/영동시장,남미/브라질,24040135,4.0,135,https://www.siksinhot.com/P/321423, 서울특별시 서초구 강남대로 455
고에몬 강남점,강남역,일식,3877943,4.0,43,https://www.siksinhot.com/P/317367, 서울특별시 서초구 서초대로77길 7
을밀대 강남점,강남역,냉면/막국수,57549181,4.0,181,https://www.siksinhot.com/P/131945, 서울특별시 강남구 테헤란로4길 46
딘타이펑 강남역점,강남역,중식,69291190,4.0,190,https://www.siksinhot.com/P/90079, 서울특별시 서초구 서초대로73길 12
강정이넘치는집,청담동,베이커리/제과점,88734,3.8,4,https://www.siksinhot.com/P/481570, 서울특별시 강남구 학동로 435
강남면옥 본점,압구정,소구이/불고기,1677819,3.7,19,https://www.siksinhot.com/P/88379, 서울특별시 강남구 논현로152길 34
강남진해장,강남역,전골,87808,3.6,8,https://www.siksinhot.com/P/855338, 서울특별시 강남구 테헤란로5길 11 
램브란트 강남N점,역삼역,곱창/대창,1822,평가중,,https://www.siksinhot.com/P/1316319, 서울특별시 강남구 테헤란로 129
고메램 강남점,강남역,중식,35431,평가중,1,https://www.siksinhot.com/P/1252269, 서울특별시 서초구 강남대로 359 
강릉스낵,목동,포장마차,51974,평가중,4,https://www.siksinhot.com/P/1192707, 서울특별시 양천구 목동동로 228-2
보슬보슬 강남본점,강남역,김밥,81035,평가중,5,https://www.siksinhot.com/P/1003803, 서울특별시 강남구 논현로85길 59 남곡빌딩 1층
강남고기집 신칠성집,논현/학동,소구이/불고기,44044,5.0,4,https://www.siksinhot.com/P/794461, 서울특별시 강남구 논현로150길 16 
강남꿀돼지,삼성동,돼지구이,74816,4.6,6,https://www.siksinhot.com/P/365541, 서울특별시 강남구 봉은사로108길 3-14
하남돼지집 강남역점,강남역,돼지구이,1800940,4.5,40,https://www.siksinhot.com/P/354517, 서울 서초구 서초대로73길 38
크래버대게나라 강남점,논현/학동,꽃게/랍스터/새우,1566713,4.5,13,https://www.siksinhot.com/P/341807, 서울 강남구 언주로 620
에머이 강남점,강남역,인도네시아,567613,4.4,13,https://www.siksinhot.com/P/375265, 서울 강남구 테헤란로2길 27
블랙스톤(강남점),신논현/영동시장,스테이크,912114,4.4,14,https://www.siksinhot.com/P/363282, 서울특별시 강남구 강남대로106길 23
마초쉐프 강남역점,신논현/영동시장,이탈리안,76154152,4.4,152,https://www.siksinhot.com/P/357780, 서울특별시 강남구 강남대로106길 29 유니켐 
봉추찜닭 강남주공공이점,강남역,삼계탕/백숙/찜닭,44182,4.3,2,https://www.siksinhot.com/P/360815, 서울특별시 강남구 강남대로 442
할랄가이즈 강남점,강남역,할랄/중동,127388,4.2,8,https://www.siksinhot.com/P/630627, 서울특별시 서초구 강남대로69길 8
본죽&비빔밥 강남역점,강남역,비빔밥/돌솥밥/쌈밥,95781,4.2,1,https://www.siksinhot.com/P/379424,본죽&비빔밥 강남역점 
맥쓰 강남역점,강남역,치킨/통닭,647214,4.2,14,https://www.siksinhot.com/P/319957, 서울특별시 강남구 테헤란로4길 6
카페마마스 강남역점,강남역,카페/커피숍,61919235,4.2,235,https://www.siksinhot.com/P/255991, 서울특별시 서초구 서운로 138
미즈컨테이너 강남역 2호점,강남역,이탈리안,831511,4.1,11,https://www.siksinhot.com/P/371966,미즈컨테이너 강남역 2호점 
강남삼계탕,신논현/영동시장,삼계탕/백숙/찜닭,64605,4.1,5,https://www.siksinhot.com/P/360771, 서울 강남구 강남대로110길 12
육회포차앤문어치킨 강남점,강남역,포장마차,1112117,4.1,17,https://www.siksinhot.com/P/359255, 서울 서초구 서초대로77길 48
아우어커피 강남점,신논현/영동시장,티하우스,6722,4.0,,https://www.siksinhot.com/P/466920, 서울특별시 강남구 봉은사로4길 20
토끼정 강남점,강남역,일본가정식,50514175,4.0,175,https://www.siksinhot.com/P/355422, 서울특별시 강남구 봉은사로6길 32
소담애 강남교보타워점,신논현/영동시장,족발/보쌈,110998,4.0,8,https://www.siksinhot.com/P/355219, 서울특별시 서초구 서초대로77길 62
곤트란쉐리에 강남뉴코아점,반포/잠원,베이커리/제과점,60463,3.9,3,https://www.siksinhot.com/P/372340, 서울 서초구 잠원로 51
빌리엔젤 강남역점,강남역,베이커리/제과점,52365,3.9,5,https://www.siksinhot.com/P/371413, 서울특별시 강남구 테헤란로1길 48 강남ELS빌딩 
라그릴리아 강남점,강남역,이탈리안,3362430,3.9,30,https://www.siksinhot.com/P/358905,라그릴리아 강남점 
담소사골순대 강남본점,강남역,떡볶이/라면/분식,1172722,3.8,22,https://www.siksinhot.com/P/358613,담소사골순대 강남본점 
제주흑다돈 강남지점,강남역,돼지구이,919410,3.8,10,https://www.siksinhot.com/P/351645, 서울특별시 서초구 강남대로65길 10
스테이터 강남역점,강남역,스테이크,86141,3.8,1,https://www.siksinhot.com/P/347013, 서울 강남구 봉은사로4길 29
설빙 강남역점,강남역,카페/커피숍,1595923,3.8,23,https://www.siksinhot.com/P/343643, 서울 강남구 강남대로102길 14
강창구찹쌀진순대,구로/대림/가산/금천구,순댓국/순대,73713,3.8,3,https://www.siksinhot.com/P/314757,강창구찹쌀진순대 
모모스테이크 강남역점,강남역,스테이크,62716,3.7,6,https://www.siksinhot.com/P/360809, 서울 강남구 강남대로100길 10
샤브쌈주머니 강남점,강남역,샤브샤브,2917939,3.7,39,https://www.siksinhot.com/P/355467, 서울 강남구 테헤란로5길 11
매우매오 강남역본점,강남역,소구이/불고기,824924,3.7,24,https://www.siksinhot.com/P/341238, 서울 강남구 봉은사로4길 40
서동한우 강남점,강남역,소구이/불고기,2135647,3.6,47,https://www.siksinhot.com/P/362210, 서울특별시 서초구 서초대로74길 29
훌리오 강남역본점,강남역,남미/브라질,959131,3.6,31,https://www.siksinhot.com/P/350156, 서울 강남구 강남대로102길 22
강남면옥 대치동점,대치동,냉면/막국수,1234217,3.6,17,https://www.siksinhot.com/P/251085,강남면옥 대치동점 
강서면옥 (압구정동점),압구정-도산공원/로데오,냉면/막국수,1303217,3.6,17,https://www.siksinhot.com/P/242160, 서울특별시 강남구 언주로164길 19
유타로 강남역점,강남역,라멘,1330856,3.6,56,https://www.siksinhot.com/P/137478, 서울특별시 서초구 서초대로74길 51
어거스트 힐 강남점,신논현/영동시장,이탈리안,6915,3.5,,https://www.siksinhot.com/P/480725, 서울특별시 강남구 강남대로106길 25
대도식당 강남대로점,반포/잠원,소구이/불고기,72993,3.5,3,https://www.siksinhot.com/P/423661, 서울 서초구 강남대로 567
동경야시장 강남점,강남역,한식주점,79969,3.5,9,https://www.siksinhot.com/P/372429, 서울특별시 강남구 강남대로98길 16
강남곱창이야기 서울본점,신논현/영동시장,곱창/대창,901613,3.5,13,https://www.siksinhot.com/P/370281, 서울특별시 강남구 봉은사로1길 42 1층 강남곱창이야기 서울본점
강남따로국밥,신사역,해장국/국밥/육개장,1019520,3.5,20,https://www.siksinhot.com/P/350411, 서울 서초구 신반포로47길 119
소호정(강남점),강남역,칼국수/국수,3943833,3.5,33,https://www.siksinhot.com/P/321757,소호정(강남점) 
고양이다락방 강남점,강남역,카페/커피숍,1616910,3.5,10,https://www.siksinhot.com/P/222215,고양이다락방 강남점 
강남복집,강남역,회/횟집/참치,109177,3.5,7,https://www.siksinhot.com/P/133654, 서울 서초구 서초대로74길 23
강강술래 역삼점,역삼역,소구이/불고기,2417715,3.5,15,https://www.siksinhot.com/P/41224, 서울 강남구 논현로 325
꼭그닭 강남점,강남역,치킨/통닭,1094015,3.4,15,https://www.siksinhot.com/P/366393, 서울특별시 강남구 봉은사로4길 37
강창구찹쌀진순대 여의도1호점,여의도,순댓국/순대,59396,3.4,6,https://www.siksinhot.com/P/364086, 서울특별시 영등포구 국제금융로8길 11 대영빌딩 
메종드조에 강남점,청담동,베이커리/제과점,58335,3.4,5,https://www.siksinhot.com/P/359536, 서울특별시 강남구 도산대로90길 17
강가 롯데월드몰점,잠실-롯데월드/롯데타워,인도,86024,3.4,4,https://www.siksinhot.com/P/357445, 서울특별시 송파구 올림픽로 300
코다차야 강남점,신논현/영동시장,이자까야,1959420,3.4,20,https://www.siksinhot.com/P/339548,코다차야 강남점 
폴바셋 신세계 강남점,반포/잠원,카페/커피숍,895910,3.4,10,https://www.siksinhot.com/P/255503, 서울특별시 서초구 신반포로 176
불이아 강남점,논현/학동,훠궈/마라탕,954610,3.4,10,https://www.siksinhot.com/P/243998,불이아 강남점 
바바인디아 강남역점,강남역,인도,1951018,3.4,18,https://www.siksinhot.com/P/137464, 서울특별시 서초구 강남대로 359 대우도씨에빛2
강강술래 신림점,봉천/신림,소구이/불고기,3154321,3.4,21,https://www.siksinhot.com/P/37030, 서울특별시 관악구 남부순환로 1660
동달식당 강남본점,교대/서초/남부터미널,돼지구이,2491448,3.4,48,https://www.siksinhot.com/P/12213,동달식당 강남본점 
알부자 강남역점,강남역,해물탕/해물요리,2294739,3.4,39,https://www.siksinhot.com/P/2681, 서울특별시 강남구 강남대로98길 14
봉우이층집 강남본점,강남역,돼지구이,81102,3.3,2,https://www.siksinhot.com/P/479789, 서울 강남구 봉은사로18길 76
베이징코야 강남점,역삼역,중식,1810127,3.3,27,https://www.siksinhot.com/P/243496, 서울특별시 강남구 논현로86길 20
미타야 강남역점,강남역,이자까야,1295029,3.3,29,https://www.siksinhot.com/P/137119, 서울특별시 강남구 강남대로94길 27
오니기리와 이규동 강남역점,강남역,일식,1399722,3.3,22,https://www.siksinhot.com/P/132304,오니기리와 이규동 강남역점 
강가 역삼점,역삼역,인도,89829,3.3,9,https://www.siksinhot.com/P/120715, 서울특별시 강남구 논현로 508
진풍정 강남점,선릉역/선정릉역,한정식,3510116,3.3,16,https://www.siksinhot.com/P/3204, 서울특별시 강남구 테헤란로52길 15
강강술래(청담점),청담동,돼지갈비,150396,3.2,6,https://www.siksinhot.com/P/251308,강강술래(청담점) 
강남목장 ,역삼역,소구이/불고기,820819,3.2,19,https://www.siksinhot.com/P/243532, 서울특별시 강남구 논현로86길 34
해담채 강남점,역삼역,남도요리,1245115,3.1,15,https://www.siksinhot.com/P/257938, 서울특별시 강남구 논현로85길 70
김영희강남동태찜 잠실점,잠실새내/신천,해물탕/해물요리,1600311,3.1,11,https://www.siksinhot.com/P/245223, 서울 송파구 삼전로 87
베끼아에누보 신세계백화점강남점,반포/잠원,카페/커피숍,196411,3.0,11,https://www.siksinhot.com/P/1047492, 서울 서초구 신반포로 176
칼맞은 삼겹살(강남점),강남역,돼지구이,1194614,3.0,14,https://www.siksinhot.com/P/359425, 서울특별시 서초구 서초대로75길 34 
강남,당산역,중식,849216,3.0,16,https://www.siksinhot.com/P/315353, 서울특별시 영등포구 당산로 214
호경전 신세계백화점강남점,반포/잠원,일식,53460,2.9,0,https://www.siksinhot.com/P/480510, 서울특별시 서초구 신반포로 176
강가네돌솥밥추어탕,구로/대림/가산/금천구,전골,3973,2.9,,https://www.siksinhot.com/P/373254,강가네돌솥밥추어탕 
제주 몬트락 강남본점,강남역,돼지구이,77808,2.9,8,https://www.siksinhot.com/P/370122,제주 몬트락 강남본점 
더스퀘어 노보텔엠배서더강남 ,역삼역,뷔페,67312,2.9,2,https://www.siksinhot.com/P/366058, 서울 강남구 봉은사로 130
미정국수0410 강남역점,강남역,칼국수/국수,1927827,2.9,27,https://www.siksinhot.com/P/225464, 서울특별시 서초구 서초대로77길 37
강동호치민,천호/강동/둔촌,인도네시아,46365,2.8,5,https://www.siksinhot.com/P/480260, 서울특별시 강동구 천호대로 1089 복합시설동 
일품각 강남점,강남역,소구이/불고기,38403,2.8,3,https://www.siksinhot.com/P/479587, 서울특별시 강남구 강남대로96길 18
모스버거 강남서초점,강남역,버거,44243,2.8,3,https://www.siksinhot.com/P/466980, 서울특별시 서초구 서초대로78길 28 
강동KD부대찌개,천호/강동/둔촌,부대찌개,52013,2.8,3,https://www.siksinhot.com/P/373435, 서울특별시 강동구 올림픽로62길 7
두끼떡볶이 강남NC점,반포/잠원,떡볶이/라면/분식,85982,2.8,2,https://www.siksinhot.com/P/372325, 서울특별시 서초구 잠원로 51
삼백집 강남뉴코아점,반포/잠원,한정식,43781,2.8,1,https://www.siksinhot.com/P/372337, 서울특별시 서초구 잠원로 37-48
노보텔앰배서더강남 더비스트로&더델리,역삼역,이탈리안,3852,2.8,,https://www.siksinhot.com/P/366059,노보텔앰배서더강남 더비스트로&더델리 
그랑아 노보텔앰배서더강남,역삼역,다이닝바,50882,2.8,2,https://www.siksinhot.com/P/366060, 서울특별시 강남구 봉은사로 130
바다양푼이동태탕 강남논현점,논현/학동,해물탕/해물요리,83589,2.8,9,https://www.siksinhot.com/P/321624,바다양푼이동태탕 강남논현점 
르사이공 강남점,강남역,인도네시아,35671,2.7,1,https://www.siksinhot.com/P/480726, 서울특별시 강남구 강남대로102길 38 강림빌딩 
고씨네플러스 강남도곡점,양재/도곡,우동/소바,30456,2.7,6,https://www.siksinhot.com/P/382563, 서울특별시 강남구 논현로38길 46
강촌원조쭈꾸미 본점,양재/도곡,해물탕/해물요리,1135810,2.7,10,https://www.siksinhot.com/P/377057, 서울특별시 서초구 남부순환로350길 36
석기정 강남점,역삼역,부대찌개,38955,2.7,5,https://www.siksinhot.com/P/373428, 서울특별시 강남구 테헤란로8길 11-8
스시마이우 강남CGV점,강남역,일식,69945,2.7,5,https://www.siksinhot.com/P/371405, 서울특별시 강남구 강남대로102길 14 장연빌딩 
투뿔등심 (강남역점),강남역,소구이/불고기,119636,2.7,6,https://www.siksinhot.com/P/366868, 서울 강남구 테헤란로4길 6
노보텔앰배서더강남 로비라운지,역삼역,티하우스,59931,2.7,1,https://www.siksinhot.com/P/366061, 서울 강남구 봉은사로 130
고베규카츠 서울 강남점,강남역,라멘,65864,2.4,4,https://www.siksinhot.com/P/480730, 서울특별시 강남구 강남대로102길 29 예촌빌딩 
미미옥 강남 신논현점,신논현/영동시장,샤브샤브,207,평가중,,https://www.siksinhot.com/P/1547427, 서울특별시 강남구 봉은사로4길 24 1층
한우부티크 강남점,강남역,소구이/불고기,96,평가중,,https://www.siksinhot.com/P/1547347, 서울특별시 서초구 서초대로78길 38 호정빌딩 8층
아난티 앳 강남 비앙드,논현/학동,프렌치,143,평가중,,https://www.siksinhot.com/P/1547356, 서울특별시 강남구 도산대로30길 33-1 지하1층
오제제 강남,강남역,일식,218,평가중,,https://www.siksinhot.com/P/1545171, 서울특별시 강남구 강남대로 358  2층 201호
명월강남,삼성동,소구이/불고기,66,평가중,,https://www.siksinhot.com/P/1545169, 서울특별시 강남구 봉은사로111길 6 지상1층
AC 호텔 바이 메리어트 서울 강남 AC 키친,역삼역,뷔페,385,평가중,,https://www.siksinhot.com/P/1545109, 서울특별시 강남구 테헤란로25길 10 2층
우천식육식당 강남구청점,논현/학동,소구이/불고기,594,평가중,,https://www.siksinhot.com/P/1545119, 서울특별시 강남구 선릉로127길 6 1층
청기와타운 강남점,강남역,소구이/불고기,321,평가중,,https://www.siksinhot.com/P/1545100, 서울특별시 강남구 강남대로78길 8 
대진도원참치 강남역점,강남역,일식,282,평가중,,https://www.siksinhot.com/P/1545089, 서울특별시 강남구 테헤란로 113 목화밀라트 지하1층 제비101호
이자카야나무 강남역 CGV점,강남역,이자까야,558,평가중,,https://www.siksinhot.com/P/1542006, 서울특별시 강남구 강남대로 442 2층
소보키 강남,강남역,한식주점,1019,평가중,,https://www.siksinhot.com/P/1541617, 서울특별시 강남구 봉은사로18길 80 1층
우리동네스시신조 강남,강남역,일식,1036,평가중,,https://www.siksinhot.com/P/1541618, 서울특별시 서초구 서초대로78길 32 3층
야키토리 나루토 강남점,강남역,일식,1605,평가중,,https://www.siksinhot.com/P/1541529, 서울특별시 강남구 봉은사로6길 38 정암빌딩 1층
캐스터네츠 강남N점,역삼역,버거,306,평가중,,https://www.siksinhot.com/P/1541247, 서울특별시 강남구 테헤란로 129 
파머스키친 강남점,논현/학동,버거,605,평가중,,https://www.siksinhot.com/P/1541237, 서울특별시 강남구 봉은사로 315 미래빌딩 
원조마포소금구이 강남점,신사-가로수길,돼지구이,1858,평가중,,https://www.siksinhot.com/P/1541231, 서울특별시 강남구 압구정로 110 화인빌딩 
슈퍼두퍼 강남점,신논현/영동시장,버거,16321,평가중,1,https://www.siksinhot.com/P/1541087, 서울특별시 서초구 강남대로 463 리젠메디컬타워 
구월의 소철 강남구청역점,논현/학동,일식,704,평가중,,https://www.siksinhot.com/P/1512822, 서울특별시 강남구 학동로 343 B1층
바른고기정육점 강남점,강남역,소구이/불고기,374,평가중,,https://www.siksinhot.com/P/1456841, 서울특별시 강남구 테헤란로 110 켐브리지 강남빌딩 
오복수산대구,여의도,회/횟집/참치,1391,평가중,,https://www.siksinhot.com/P/1444202, 서울특별시 영등포구 의사당대로 83 오투타워 
히쿠마 강남점,강남역,퓨전,15521,평가중,1,https://www.siksinhot.com/P/1444168, 서울특별시 강남구 봉은사로4길 36
동화고옥 강남N점,역삼역,한정식,1781,평가중,,https://www.siksinhot.com/P/1317181, 서울특별시 강남구 테헤란로 129
파츠 강남N점,역삼역,패밀리레스토랑,1606,평가중,,https://www.siksinhot.com/P/1317170, 서울특별시 강남구 테헤란로 129
버거스올마이티 강남역점,강남역,버거,1266,평가중,,https://www.siksinhot.com/P/1440906, 서울특별시 강남구 봉은사로2길 31 1층
푸에르코 강남,강남역,소구이/불고기,2413,평가중,,https://www.siksinhot.com/P/1381705, 서울특별시 서초구 강남대로53길 8 2층 푸에르코
반티엔야오 카오위 강남점,강남역,중식,504,평가중,,https://www.siksinhot.com/P/1358109, 서울특별시 서초구 서초대로73길 12 세계빌딩 1층
마유유 마라탕 강남역점,강남역,중식,1170,평가중,,https://www.siksinhot.com/P/1357060, 서울특별시 강남구 강남대로94길 27 2층
육다시구,논현/학동,와인,666,평가중,,https://www.siksinhot.com/P/1316940, 서울특별시 강남구 논현로149길 40 
에이스크랩 강남직영점,선릉역/선정릉역,인도네시아,243,평가중,,https://www.siksinhot.com/P/1316422, 서울특별시 강남구 언주로98길 39-5 1층
서울로인 강남N점,역삼역,육회/육사시미,911,평가중,,https://www.siksinhot.com/P/1316320, 서울특별시 강남구 테헤란로 129
모도우 강남N점,역삼역,소구이/불고기,2402,평가중,,https://www.siksinhot.com/P/1315218, 서울특별시 강남구 테헤란로 129
엔틱정 강남논현점,신논현/영동시장,한식주점,734,평가중,,https://www.siksinhot.com/P/1301545, 서울특별시 강남구 봉은사로1길 37 호서빌딩 2층
남파고택 롯데백화점강남점,대치동,한정식,434,평가중,,https://www.siksinhot.com/P/1302918, 서울특별시 강남구 도곡로 401 롯데백화점 지하 1층
을지다락 강남,강남역,이탈리안,1055,평가중,,https://www.siksinhot.com/P/1300937, 서울특별시 강남구 강남대로96길 22 
강남모밀 무이,신논현/영동시장,우동/소바,1298,평가중,,https://www.siksinhot.com/P/1300939, 서울특별시 서초구 사평대로57길 44
남도분식 강남N타워점,역삼역,만두/만두전골,1254,평가중,,https://www.siksinhot.com/P/1296161, 서울특별시 강남구 테헤란로 129 
폴인팬케이크 강남점,신논현/영동시장,카페/커피숍,1069,평가중,,https://www.siksinhot.com/P/1286831, 서울특별시 강남구 봉은사로6길 29 
김태주 선산곱창 강남점,선릉역/선정릉역,곱창/대창,7241,평가중,1,https://www.siksinhot.com/P/1279967, 서울특별시 강남구 선릉로82길 8 1층
퍼햅스 강남본점,역삼역,카페/커피숍,664,평가중,,https://www.siksinhot.com/P/1271487, 서울특별시 강남구 논현로86길 27
카츠8 강남점,강남역,경양식/돈가스,23451,평가중,1,https://www.siksinhot.com/P/1271278, 서울특별시 서초구 서초대로74길 11 
제주은희네해장국 강남역점,역삼역,해장국/국밥/육개장,1573,평가중,,https://www.siksinhot.com/P/1270256, 서울특별시 강남구 테헤란로8길 11
강호연파 밥굽남 더현대서울점,여의도-IFC몰/더현대서울,샤브샤브,47921,평가중,1,https://www.siksinhot.com/P/1270095, 서울특별시 영등포구 여의대로 108 
롸버트치킨 강남1호기,논현/학동,치킨/통닭,1297,평가중,,https://www.siksinhot.com/P/1269837, 서울특별시 강남구 언주로 604 
강남 곱,강남역,곱창/대창,1986,평가중,,https://www.siksinhot.com/P/1269844, 서울특별시 강남구 역삼로3길 12 
강남명전,강남역,전/빈대떡,42601,평가중,1,https://www.siksinhot.com/P/1269730, 서울특별시 서초구 강남대로65길 12 
청초수물회 강남점,압구정,회/횟집/참치,51793,평가중,3,https://www.siksinhot.com/P/1269732, 서울특별시 강남구 압구정로28길 24 
에이비카페 강남1호점,강남역,카페/커피숍,1706,평가중,,https://www.siksinhot.com/P/1262434, 서울특별시 강남구 강남대로102길 32 
