제목,지역,분류,조회수,평점,북마크,url,주소
국수회관,봉천/신림,칼국수/국수,686610,4.2,10,https://www.siksinhot.com/P/359561, 서울특별시 관악구 신림로 277 
이대감 명품막창 ,봉천/신림,양고기/양꼬치,573210,4.1,10,https://www.siksinhot.com/P/321067, 서울 관악구 장군봉1길 46
홍곱창 서울대점,서울대/샤로수길/낙성대,곱창/대창,4292,4.0,,https://www.siksinhot.com/P/831615, 서울 관악구 봉천로 489
우마이초밥,봉천/신림,초밥,63737,4.0,7,https://www.siksinhot.com/P/480074, 서울특별시 관악구 관악로 273 
기절초풍왕순대,서울대/샤로수길/낙성대,한정식,4602,4.0,,https://www.siksinhot.com/P/403000, 서울 관악구 봉천로62길 2
티라노커피,서울대/샤로수길/낙성대,카페/커피숍,48072,4.0,2,https://www.siksinhot.com/P/372981, 서울 관악구 남부순환로230길 39
고명집,서울대/샤로수길/낙성대,닭볶음탕/닭갈비/닭발,61918,4.0,8,https://www.siksinhot.com/P/371209, 서울특별시 관악구 봉천로 482 
땀나,봉천/신림,족발/보쌈,510713,4.0,13,https://www.siksinhot.com/P/350628,땀나 
기막힌포차,봉천/신림,포장마차,592712,4.0,12,https://www.siksinhot.com/P/343940, 서울특별시 관악구 신림로58길 21
파티룸 테라스 ,사당/이수,티하우스,2294816,4.0,16,https://www.siksinhot.com/P/257664,파티룸 테라스  
미림분식,봉천/신림,떡볶이/라면/분식,106079,3.9,9,https://www.siksinhot.com/P/373855, 서울특별시 관악구 호암로 553
더멜팅팟,서울대/샤로수길/낙성대,버거,45541,3.9,1,https://www.siksinhot.com/P/371221, 서울특별시 관악구 관악로14가길 2 
밥파스타,봉천/신림,피자,57214,3.9,4,https://www.siksinhot.com/P/360646, 서울특별시 관악구 양녕로 64
불타는꼬꼬발 1호점,봉천/신림,닭볶음탕/닭갈비/닭발,753311,3.9,11,https://www.siksinhot.com/P/339605, 서울특별시 관악구 관천로 55
